reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
11,30,7,0,0,0,l,3.292376100027468,None,0,0,0,0,0.06642570003168657,,0.06385660002706572,0.06642570003168657,1.012873200001195,1.012873200001195,1.0792619000421837,4.322414700000081,l,3.292376100027468,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
49,60,89,1,1,0,t,2.2190446000313386,None,0,1,1,4,4.33893630001694,,4.335976500005927,4.33893630001694,5.32905749999918,5.32905749999918,5.345995400042739,7.5634742000256665,t,2.2190446000313386,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
27,50,21,2,2,0,l,5.154973500000779,None,0,2,2,2,7.578968200017698,,7.574165600002743,7.578968200017698,8.579274500021711,8.579274500021711,8.579274500021711,13.746092899993528,l,5.154973500000779,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
15,35,13,3,3,0,t,7.817387899965979,None,0,3,3,1,13.762076999992132,,13.750011900032405,13.762076999992132,14.745450099988375,14.745450099988375,14.762261700001545,22.579510100011248,t,7.817387899965979,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
78,80,162,4,4,0,t,5.156153100018855,None,0,4,4,6,22.595404400024563,,22.587507700023707,22.595404400024563,23.578565500036348,23.578565500036348,23.595687800028827,28.74609989998862,t,5.156153100018855,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
67,75,119,5,5,0,t,6.067446300003212,None,0,5,5,5,28.76215060002869,,28.753891700005624,28.76215060002869,29.74525740003446,29.74525740003446,29.762076100043487,35.82944940001471,t,6.067446300003212,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
40,55,62,6,6,0,t,2.4677719000028446,None,0,6,6,3,35.84530809998978,,35.838084599992726,35.84530809998978,36.82855730003212,36.82855730003212,36.845086799992714,39.31251509999856,t,2.4677719000028446,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
11,30,7,7,0,1,l,1.8248831999953836,None,1,0,7,0,39.32841980003286,,39.319098000007216,39.32841980003286,40.311609200027306,40.311609200027306,40.32834860001458,42.14584340003785,l,1.8248831999953836,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
67,75,119,8,1,1,t,2.4402394000208005,None,1,1,8,5,42.16179540002486,,42.15341999998782,42.16179540002486,43.16179650003323,43.16179650003323,43.16179650003323,45.612289700016845,t,2.4402394000208005,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
15,35,13,9,2,1,l,3.1692869000253268,None,1,2,9,1,45.628107400028966,,45.61898440000368,45.628107400028966,46.611531600006856,46.611531600006856,46.62825340003474,49.79483130003791,l,3.1692869000253268,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
40,55,62,10,3,1,t,3.698029800027143,None,1,3,10,3,49.811009700002614,,49.80010540003423,49.811009700002614,50.79424560000189,50.79424560000189,50.81105130002834,54.494744100025855,t,3.698029800027143,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
49,60,89,11,4,1,t,3.5799184999777935,None,1,4,11,4,54.510872400016524,,54.499172599986196,54.510872400016524,55.494431300030556,55.494431300030556,55.51073770003859,59.07810899999458,t,3.5799184999777935,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
27,50,21,12,5,1,l,4.906286399986129,None,1,5,12,2,59.09424539998872,,59.08298120001564,59.09424539998872,60.077399700006936,60.077399700006936,60.09393329999875,64.99459690001095,l,4.906286399986129,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
78,80,162,13,6,1,t,1.8553536999970675,None,1,6,13,6,65.0106880000094,,65.00164580001729,65.0106880000094,65.99402179999743,65.99402179999743,66.01068990002386,67.8610368000227,t,1.8553536999970675,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
15,35,13,14,0,2,l,4.138892000017222,None,2,0,14,1,67.87715459999163,,67.86453020002227,67.87715459999163,68.86046440002974,68.86046440002974,68.8771926999907,73.01127230003476,l,4.138892000017222,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
49,60,89,15,1,2,t,4.734327400045004,None,2,1,15,4,73.02700530004222,,73.01843659998849,73.02700530004222,74.02702490001684,74.02702490001684,74.02702490001684,78.77734259999124,t,4.734327400045004,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
40,55,62,16,2,2,l,5.79611490003299,None,2,2,16,3,78.8438346000039,,78.84158760000719,78.8438346000039,79.77711339999223,79.77711339999223,79.84357000002638,85.57804640004179,l,5.79611490003299,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
27,50,21,17,3,2,l,4.891540099983104,None,2,3,17,2,85.59369529999094,,85.58503600000404,85.59369529999094,86.59357239998644,86.59357239998644,86.59357239998644,91.49389969999902,l,4.891540099983104,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
67,75,119,18,4,2,t,3.337486699980218,None,2,4,18,5,91.5099205999868,,91.49861260002945,91.5099205999868,92.49335679999785,92.49335679999785,92.50972910004202,95.8435552000301,t,3.337486699980218,None,318566,001,19,2025-11-05_18h47.30.198,DelayDiscounting_Experiment,,2025.1.1,60.157468197240895,2025-11-05 18h47.58.763308 +0530,
