reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart
67,75,119,0,0,0,t,1.9561453,None,0,0,0,5,0.072261,,0.0692396,0.072261,1.0097699,1.0097699,1.0765813,2.9893927,t,1.9561453,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
49,60,89,1,1,0,l,1.4608078,None,0,1,1,4,3.0062968,,3.0022383,3.0062968,3.9925118,3.9925118,4.0092671,5.4597852,l,1.4608078,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
27,50,21,2,2,0,l,1.5516677,None,0,2,2,2,5.4758457,,5.4661104,5.4758457,6.4592706,6.4592706,6.4758446,8.0262731,l,1.5516677,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
40,55,62,3,3,0,t,1.775098,None,0,3,3,3,8.0424895,,8.0309755,8.0424895,9.0259023,9.0259023,9.0424357,10.8096548,t,1.775098,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
11,30,7,4,4,0,t,1.0984653,None,0,4,4,0,10.82565,,10.8167607,10.82565,11.8090307,11.8090307,11.8258218,12.9094229,t,1.0984653,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
15,35,13,5,5,0,l,1.2894457,None,0,5,5,1,12.9256261,,12.9155371,12.9256261,13.9089465,13.9089465,13.925718,15.2093798,l,1.2894457,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
78,80,162,6,6,0,t,0.7522762,None,0,6,6,6,15.2253835,,15.2122669,15.2253835,16.2089125,16.2089125,16.225723,16.9760691,t,0.7522762,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
78,80,162,7,0,1,t,1.69165,None,1,0,7,6,16.9921118,,16.9763053,16.9921118,17.9756142,17.9756142,17.9920599,19.6763414,t,1.69165,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
49,60,89,8,1,1,t,1.4551512,None,1,1,8,4,19.6920925,,19.6833956,19.6920925,20.6756233,20.6756233,20.6922711,22.1430334,t,1.4551512,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
11,30,7,9,2,1,l,1.3739467,None,1,2,9,0,22.1588625,,22.1499074,22.1588625,23.1422099,23.1422099,23.1589549,24.5261643,l,1.3739467,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
15,35,13,10,3,1,l,0.775739,None,1,3,10,1,24.5421559,,24.5324671,24.5421559,25.5254406,25.5254406,25.5419605,26.3095332,l,0.775739,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
27,50,21,11,4,1,l,1.3240798,None,1,4,11,2,26.3254165,,26.3157927,26.3254165,27.3253033,27.3253033,27.3253033,28.6590128,l,1.3240798,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
40,55,62,12,5,1,t,1.1866842,None,1,5,12,3,28.6751944,,28.6630642,28.6751944,29.6586456,29.6586456,29.6753118,30.8590725,t,1.1866842,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
67,75,119,13,6,1,t,3.4875312,None,1,6,13,5,30.8751105,,30.8632449,30.8751105,31.8584789,31.8584789,31.8749822,35.3586989,t,3.4875312,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
40,55,62,14,0,2,l,1.5378999,None,2,0,14,3,35.3749687,,35.3625831,35.3749687,36.3583747,36.3583747,36.37498,37.9091767,l,1.5378999,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
27,50,21,15,1,2,t,0.687383,None,2,1,15,2,37.9249737,,37.9196467,37.9249737,38.925008,38.925008,38.925008,39.6258049,t,0.687383,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
49,60,89,16,2,2,t,0.4911156,None,2,2,16,4,39.6415243,,39.6301984,39.6415243,40.6254899,40.6254899,40.6421977,41.1257298,t,0.4911156,None,P001,1,21,2025-11-05_18h33.11.583,DelayDiscounting_Experiment,,2025.1.1,59.82027598,2025-11-05 18h33.19.523181 +0530
