Pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Routine_1.started,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp.started,Routine_1.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Routine_2.started,Fixation2.started,line1.started,line2.started,line3.started,line4.started,Fixation2.stopped,probe2.started,key_resp_2.started,Routine_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,0.3269674,None,,,,,0,0,0,0,,,,,0.0120566,,0.0080921,0.0120566,1.0052132,1.0052132,1.0052132,1.0052132,1.0201986,2.0033184,2.0033184,2.3483157,x,1,0.3269674,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
150,v,1,1,0,v,1,0.4628052,None,,,,,0,1,1,1,,,,,2.3548972,,2.3490293,2.3548972,3.3533671,3.3533671,3.3533671,3.3533671,3.3533671,4.3532003,4.3532003,4.8207539,v,1,0.4628052,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
50,c,2,2,0,c,1,0.4279734,None,,,,,0,2,2,2,,,,,4.8383157,,4.8213567,4.8383157,5.8218915,5.8218915,5.8218915,5.8218915,5.836465,6.8201945,6.8201945,7.2538689,c,1,0.4279734,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
-150,z,3,3,0,z,1,0.2452156,None,,,,,0,3,3,3,,,,,7.2717517,,7.2543995,7.2717517,8.2556807,8.2556807,8.2556807,8.2556807,8.2697084,9.2536102,9.2536102,9.5038499,z,1,0.2452156,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
-50,x,4,0,1,x,1,0.464745,None,,,,,1,0,4,0,,,,,9.5218817,,9.5048117,9.5218817,10.5053368,10.5053368,10.5053368,10.5053368,10.5201839,11.5029472,11.5029472,11.970416,x,1,0.464745,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
150,v,5,1,1,v,1,0.2494603,None,,,,,1,1,5,1,,,,,11.9882626,,11.9710182,11.9882626,12.9722786,12.9722786,12.9722786,12.9722786,12.9862737,13.9696443,13.9696443,14.2203555,v,1,0.2494603,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
50,c,6,2,1,c,1,0.2441326,None,,,,,1,2,6,2,,,,,14.2383748,,14.2208776,14.2383748,15.2217396,15.2217396,15.2217396,15.2217396,15.2361955,16.2199305,16.2199305,16.4706969,c,1,0.2441326,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
-150,z,7,3,1,z,1,0.2658101,None,,,,,1,3,7,3,,,,,16.4877844,,16.4713162,16.4877844,17.4715364,17.4715364,17.4715364,17.4715364,17.4863556,18.4864986,18.4864986,18.7535082,z,1,0.2658101,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
-50,x,8,0,2,x,1,0.2741563,None,,,,,2,0,8,0,,,,,18.7718409,,18.7541583,18.7718409,19.7556752,19.7556752,19.7556752,19.7556752,19.7694623,20.7693653,20.7693653,21.0542192,x,1,0.2741563,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
150,v,9,1,2,v,1,0.6397837,None,,,,,2,1,9,1,,,,,21.0714935,,21.0548086,21.0714935,22.0548952,22.0548952,22.0548952,22.0548952,22.0695316,23.0697139,23.0697139,23.7200816,v,1,0.6397837,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
50,c,10,2,2,c,1,0.4367206,None,,,,,2,2,10,2,,,,,23.7378708,,23.7206087,23.7378708,24.7218844,24.7218844,24.7218844,24.7218844,24.7361686,25.7196766,25.7196766,26.1699332,c,1,0.4367206,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
-150,z,11,3,2,z,1,0.2435783,None,,,,,2,3,11,3,,,,,26.1880685,,26.170672,26.1880685,27.1710648,27.1710648,27.1710648,27.1710648,27.18563,28.169031,28.169031,28.420121,z,1,0.2435783,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
-50,x,12,0,3,x,1,0.2618066,None,,,,,3,0,12,0,,,,,28.4378046,,28.4207466,28.4378046,29.4213882,29.4213882,29.4213882,29.4213882,29.4357825,30.4191434,30.4191434,30.6865291,x,1,0.2618066,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
150,v,13,1,3,v,1,0.6901719,None,,,,,3,1,13,1,,,,,30.7043469,,30.6870827,30.7043469,31.6878995,31.6878995,31.6878995,31.6878995,31.7023828,32.685645,32.685645,33.3864727,v,1,0.6901719,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
50,c,14,2,3,c,1,0.2495167,None,,,,,3,2,14,2,,,,,33.404551,,33.3870394,33.404551,34.3878932,34.3878932,34.3878932,34.3878932,34.4024472,35.3858178,35.3858178,35.6371659,c,1,0.2495167,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
-150,z,15,3,3,z,1,0.2370503,None,,,,,3,3,15,3,,,,,35.6542104,,35.6377872,35.6542104,36.6376852,36.6376852,36.6376852,36.6376852,36.6529937,37.652484,37.652484,37.9032445,z,1,0.2370503,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
-50,x,16,0,4,x,1,0.3368933,None,,,,,4,0,16,0,,,,,37.9211416,,37.9038316,37.9211416,38.9048122,38.9048122,38.9048122,38.9048122,38.9188962,39.9021489,39.9021489,40.2530123,x,1,0.3368933,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
150,v,17,1,4,v,1,0.3015437,None,,,,,4,1,17,1,,,,,40.2714374,,40.2540566,40.2714374,41.2538664,41.2538664,41.2538664,41.2538664,41.2685309,42.2686167,42.2686167,42.586414,v,1,0.3015437,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
50,c,18,2,4,c,1,0.228888,None,,,,,4,2,18,2,,,,,42.604096,,42.5870029,42.604096,43.5875926,43.5875926,43.5875926,43.5875926,43.6021856,44.6024488,44.6024488,44.8364586,c,1,0.228888,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
-150,z,19,3,4,z,1,0.1901745,None,,,,,4,3,19,3,,,,,44.8549141,,44.8370236,44.8549141,45.8373494,45.8373494,45.8373494,45.8373494,45.8524229,46.8352846,46.8352846,47.0364056,z,1,0.1901745,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
-50,x,20,0,5,x,1,0.2115644,None,,,,,5,0,20,0,,,,,47.0538653,,47.0370206,47.0538653,48.0371888,48.0371888,48.0371888,48.0371888,48.0524595,49.0521665,49.0521665,49.2698396,x,1,0.2115644,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
150,v,21,1,5,v,1,0.0545574,None,,,,,5,1,21,1,,,,,49.287065,,49.2706887,49.287065,50.2706365,50.2706365,50.2706365,50.2706365,50.2852596,51.2852189,51.2852189,51.3529881,v,1,0.0545574,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
50,c,22,2,5,c,1,0.4445437,None,,,,,5,2,22,2,,,,,51.3711015,,51.3536166,51.3711015,52.353319,52.353319,52.353319,52.353319,52.3850147,53.3519334,53.3519334,53.802951,c,1,0.4445437,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
-150,z,23,3,5,z,1,0.28913,None,,,,,5,3,23,3,,,,,53.8204226,,53.8034834,53.8204226,54.8039736,54.8039736,54.8039736,54.8039736,54.8185139,55.8185032,55.8185032,56.1191672,z,1,0.28913,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
-50,x,24,0,6,x,1,0.2650186,None,,,,,6,0,24,0,,,,,56.1368909,,56.1196591,56.1368909,57.120528,57.120528,57.120528,57.120528,57.1351485,58.118612,58.118612,58.3859612,x,1,0.2650186,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
150,v,25,1,6,v,1,0.1926658,None,,,,,6,1,25,1,,,,,58.4034813,,58.3865478,58.4034813,59.3869167,59.3869167,59.3869167,59.3869167,59.4021481,60.3849197,60.3849197,60.5856536,v,1,0.1926658,None,,,,,,,,,,,,,,,P001,1,,2025-10-03_11h29.55.490,MotorSequence,,2025.1.1,60.17763233,2025-10-03 11h30.00.364324 +0530
