shape,side,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,rectstim.started,circstim.started,key_resp.started,fixation.stopped,rectstim.stopped,circstim.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,corrKey,correct,congruent,stim_side,resp_side,Final_Instructions.started,text_2.started,key_resp_5.started,Final_Instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,experiment.key_resp.keys,experiment.key_resp.rt,experiment.key_resp.duration,Thank_You.started,ThankYou.started,key_resp_3.started,Thank_You.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,age,gender,date,expName,expVersion,psychopyVersion,frameRate,key_for_square,key_for_circle,expStart
,,,,,,,,,,,,,,,,,,0.0017968,0.0051276,0.0051276,18.3218519,space,18.213633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,1,20,woman,2025-11-20_09h58.52.530,SimonTask,,2025.1.1,60.03586541,p,q,2025-11-20 09h59.13.368679 +0530
square,right,0,0,0,q,3.696152,None,0,0,0,1,,,,,18.337958,,,,,,,,,18.333507,18.337958,18.5324554,18.5324554,18.5324554,18.5490606,19.0320954,19.0320954,22.2325986,q,3.696152,None,p,0,1,right,right,,,,,,,,,,,,,,,,,,P001,1,20,woman,2025-11-20_09h58.52.530,SimonTask,,2025.1.1,60.03586541,p,q,2025-11-20 09h59.13.368679 +0530
square,left,1,1,0,q,0.8759168,None,0,1,1,0,,,,,22.2487852,,,,,,,,,22.2332813,22.2487852,22.4322741,22.4322741,22.4322741,22.4488806,22.932263,22.932263,23.3156544,q,0.8759168,None,p,0,0,left,right,,,,,,,,,,,,,,,,,,P001,1,20,woman,2025-11-20_09h58.52.530,SimonTask,,2025.1.1,60.03586541,p,q,2025-11-20 09h59.13.368679 +0530
circle,left,2,2,0,p,0.5940525,None,0,2,2,2,,,,,23.3320734,,,,,,,,,23.3159849,23.3320734,23.5157713,23.5157713,23.5157713,23.5323069,24.0156237,24.0156237,24.1161557,p,0.5940525,None,q,0,1,left,left,,,,,,,,,,,,,,,,,,P001,1,20,woman,2025-11-20_09h58.52.530,SimonTask,,2025.1.1,60.03586541,p,q,2025-11-20 09h59.13.368679 +0530
circle,right,3,3,0,p,0.5057563,None,0,3,3,3,,,,,24.1322156,,,,,,,,,24.1169547,24.1322156,24.315642,24.315642,24.315642,24.3322436,24.8153325,24.8153325,24.8325658,p,0.5057563,None,q,0,0,right,left,,,,,,,,,,,,,,,,,,P001,1,20,woman,2025-11-20_09h58.52.530,SimonTask,,2025.1.1,60.03586541,p,q,2025-11-20 09h59.13.368679 +0530
circle,left,4,0,1,p,0.4355886,None,1,0,4,2,,,,,24.8488092,,,,,,,,,24.8330334,24.8488092,25.0322603,25.0322603,25.0322603,25.0489078,,,25.4828345,p,0.4355886,None,q,0,1,left,left,,,,,,,,,,,,,,,,,,P001,1,20,woman,2025-11-20_09h58.52.530,SimonTask,,2025.1.1,60.03586541,p,q,2025-11-20 09h59.13.368679 +0530
square,right,5,1,1,q,0.44652,None,1,1,5,1,,,,,25.4987775,,,,,,,,,25.483185,25.4987775,25.6821919,25.6821919,25.6821919,25.6987492,,,26.1323825,q,0.44652,None,p,0,1,right,right,,,,,,,,,,,,,,,,,,P001,1,20,woman,2025-11-20_09h58.52.530,SimonTask,,2025.1.1,60.03586541,p,q,2025-11-20 09h59.13.368679 +0530
circle,right,6,2,1,p,0.5599956,None,1,2,6,3,,,,,26.1488752,,,,,,,,,26.1326788,26.1488752,26.3324014,26.3324014,26.3324014,26.348736,26.8319354,26.8319354,26.8991279,p,0.5599956,None,q,0,0,right,left,,,,,,,,,,,,,,,,,,P001,1,20,woman,2025-11-20_09h58.52.530,SimonTask,,2025.1.1,60.03586541,p,q,2025-11-20 09h59.13.368679 +0530
square,left,7,3,1,q,0.6822601,None,1,3,7,0,,,,,26.9153659,,,,,,,,,26.8997879,26.9153659,27.0989501,27.0989501,27.0989501,27.1154816,27.5987088,27.5987088,27.7822397,q,0.6822601,None,p,0,0,left,right,,,,,,,,,,,,,,,,,,P001,1,20,woman,2025-11-20_09h58.52.530,SimonTask,,2025.1.1,60.03586541,p,q,2025-11-20 09h59.13.368679 +0530
square,left,8,0,2,q,0.4667658,None,2,0,8,0,,,,,27.7985992,,,,,,,,,27.782655,27.7985992,27.9820751,27.9820751,27.9820751,27.9988405,,,28.4493634,q,0.4667658,None,p,0,0,left,right,,,,,,,,,,,,,,,,,,P001,1,20,woman,2025-11-20_09h58.52.530,SimonTask,,2025.1.1,60.03586541,p,q,2025-11-20 09h59.13.368679 +0530
