delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Polygon.started,Polygon_2.started,key_resp.started,Polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.7,1000,exp,0,0,0,space,2.6569517999887466,None,330,1,[4.504158600000665],[4.504170299973339],0,0,0,5,0.014734900090843439,,0.011090500047430396,0.014734900090843439,1.006306100054644,1.006306100054644,1.0228671000804752,3.735695500043221,space,2.6569517999887466,None,3.736068500089459,0.7039691000245512,1.0041051000589505,4.754792200052179,4.755905500031076,4.7701180999865755,4.7701180999865755,4.7701180999865755,9.274608800071292,330,1,[4.504158600000665],[4.504170299973339],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.7,1000,exp,1,1,0,space,0.3945801999652758,None,700,1,[2.894675499992445],[2.8946871999651194],0,1,1,8,9.289424100075848,,9.274907100014389,9.289424100075848,10.289533499977551,10.289533499977551,10.289533499977551,10.690171000082046,space,0.3945801999652758,None,10.690662999986671,0.6991681999061257,0.9993942999280989,11.703825799981132,11.704343300079927,11.712037599994801,11.712037599994801,11.712037599994801,14.607100400025956,700,1,[2.894675499992445],[2.8946871999651194],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.7,1000,exp,2,2,0,space,0.6393793999450281,None,200,1,[2.4295009000925347],[2.4295105000492185],0,2,2,11,14.622319200076163,,14.607412400073372,14.622319200076163,15.622429499984719,15.622429499984719,15.622429499984719,16.273163000005297,space,0.6393793999450281,None,16.274136700085364,0.6991869000485167,0.9994387000333518,17.285367600037716,17.285908300080337,17.294591500074603,17.294591500074603,17.294591500074603,19.724342599976808,200,1,[2.4295009000925347],[2.4295105000492185],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.1,1000,exp,3,3,0,space,0.650108200032264,None,50 ,1,[2.833047899999656],[2.833057799958624],0,3,3,9,19.73937520000618,,19.724565600045025,19.73937520000618,20.739340000087395,20.739340000087395,20.739340000087395,21.40620259998832,space,0.650108200032264,None,21.40678800002206,0.09967170003801584,0.39969260001089424,21.815869600046426,21.816162200062536,21.823150800075382,21.823150800075382,21.823150800075382,24.656466500018723,50 ,1,[2.833047899999656],[2.833057799958624],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.7,400,unexp,4,4,0,space,1.766431999974884,None,400,1,[2.7779062000336125],[2.777919300016947],0,4,4,2,24.67228639998939,,24.656632700003684,24.67228639998939,25.65579820005223,25.65579820005223,25.672328200074844,27.439561199978925,space,1.766431999974884,None,27.440068700001575,0.6993687000358477,0.9991413000971079,28.45663760008756,28.4568900000304,28.461620600079186,28.461620600079186,28.461620600079186,31.239940300001763,400,1,[2.7779062000336125],[2.777919300016947],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.4,1000,exp,5,5,0,space,0.9580566000659019,None,150,1,[2.7933106999844313],[2.7933167000301182],0,5,5,7,31.255304699996486,,31.240238800062798,31.255304699996486,32.25559559999965,32.25559559999965,32.25559559999965,33.22232790000271,space,0.9580566000659019,None,33.22281649999786,0.3996655000373721,0.6996814999729395,33.93885799997952,33.93932570004836,33.94632950006053,33.94632950006053,33.94632950006053,36.73981280007865,150,1,[2.7933106999844313],[2.7933167000301182],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.1,1000,exp,6,6,0,space,1.9025998000288382,None,55,1,[1.565291399951093],[1.5652973999967799],0,6,6,3,36.75536319997627,,36.73995429999195,36.75536319997627,37.755467700073496,37.755467700073496,37.755467700073496,39.67248840001412,space,1.9025998000288382,None,39.67307650006842,0.09932489995844662,0.3996208000462502,40.08495829999447,40.08543390000705,40.09091690008063,40.09091690008063,40.09091690008063,41.65638499998022,55,1,[1.565291399951093],[1.5652973999967799],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.4,1000,exp,7,7,0,space,0.8227190000470728,None,300,1,[4.44975960010197],[4.449765300028957],0,7,7,4,41.67176679999102,,41.656545800040476,41.67176679999102,42.67194909998216,42.67194909998216,42.67194909998216,43.50573950004764,space,0.8227190000470728,None,43.506276500062086,0.399421300040558,0.6995580000802875,44.216056199977174,44.21655260003172,44.22249459999148,44.22249459999148,44.22249459999148,48.67242489999626,300,1,[4.44975960010197],[4.449765300028957],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.4,400,unexp,8,8,0,space,0.3022171000484377,None,10,1,[2.958210099954158],[2.95821679988876],0,8,8,1,48.68832309998106,,48.67258070001844,48.68832309998106,49.67170730000362,49.67170730000362,49.68849139998201,49.988714599981904,space,0.3022171000484377,None,49.98907510004938,0.39954240003135055,0.6996371999848634,50.70751810004003,50.70809420000296,50.71443330007605,50.71443330007605,50.71443330007605,53.672907300060615,10,1,[2.958210099954158],[2.95821679988876],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.4,1000,exp,9,9,0,space,0.640648299944587,None,500,1,[2.008156400057487],[2.008161499979906],0,9,9,10,53.688261899980716,,53.67307360004634,53.688261899980716,54.68823680002242,54.68823680002242,54.68823680002242,55.33895060000941,space,0.640648299944587,None,55.33986399997957,0.39932510000653565,0.6991884000599384,56.056718199979514,56.057239299989305,56.06400170002598,56.06400170002598,56.06400170002598,58.07232280005701,500,1,[2.008156400057487],[2.008161499979906],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.1,1000,exp,10,10,0,space,0.8577783000655472,None,100,1,[1.8458060000557452],[1.8458142000017688],0,10,10,6,58.0881447000429,,58.072464600089006,58.0881447000429,59.07150740001816,59.07150740001816,59.088065600022674,59.93888250004966,space,0.8577783000655472,None,59.939883599989116,0.09907039999961853,0.3990781999891624,60.35432070004754,60.354673900059424,60.35927080002148,60.35927080002148,60.35927080002148,62.20529589999933,100,1,[1.8458060000557452],[1.8458142000017688],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.1,400,unexp,11,11,0,space,0.7052324999822304,None,100,1,[1.5737307999515906],[1.5737363999942318],0,11,11,0,62.22169230005238,,62.20549399999436,62.22169230005238,63.20504060003441,63.20504060003441,63.22141990007367,63.92163610004354,space,0.7052324999822304,None,63.92223550006747,0.09959630004595965,0.3995608000550419,64.33841540000867,64.33896239998285,64.34813030005898,64.34813030005898,64.34813030005898,65.922043700004,100,1,[1.5737307999515906],[1.5737363999942318],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
