shape,side,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,rectstim.started,circstim.started,key_resp.started,rectstim.stopped,circstim.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,corrKey,correct,congruent,stim_side,resp_side,Final_Instructions.started,text_2.started,key_resp_5.started,Final_Instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,experiment.key_resp.keys,experiment.key_resp.rt,experiment.key_resp.duration,Thank_You.started,ThankYou.started,key_resp_3.started,participant,session,age,gender,date,expName,expVersion,psychopyVersion,frameRate,key_for_square,key_for_circle,expStart
,,,,,,,,,,,,,,,,,,0.0015527,0.0039493,0.0039493,2.3949849,space,2.3762395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,left,0,0,0,q,0.5439767,None,0,0,0,0,,,,,2.4066079,,,,,,,,,2.3997073,2.4066079,2.6067005,2.6067005,2.6067005,2.6067005,3.1066797,3.1066797,3.1571912,q,0.5439767,None,p,0,0,left,right,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
circle,left,1,1,0,p,0.5241902,None,0,1,1,2,,,,,3.1733068,,,,,,,,,3.1579274,3.1733068,3.3732362,3.3566625,3.3566625,3.3566625,3.8566799,3.8566799,3.8903185,p,0.5241902,None,q,0,1,left,left,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,right,2,2,0,q,0.4926078,None,0,2,2,1,,,,,3.9067064,,,,,,,,,3.8911877,3.9067064,4.1067796,4.0901321,4.0901321,4.0901321,4.58987,4.58987,4.5905446,q,0.4926078,None,p,0,1,right,right,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
circle,right,3,3,0,q,0.4415626,None,0,3,3,3,,,,,4.6066002,,,,,,,,,4.5908733,4.6066002,4.8066324,4.790108,4.790108,4.790108,,,5.2402972,q,0.4415626,None,q,1,0,right,left,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
circle,left,4,0,1,p,0.5332346,None,1,0,4,2,,,,,5.2565597,,,,,,,,,5.240683,5.2565597,5.4565199,5.4398107,5.4398107,5.4398107,5.9400246,5.9400246,5.9734321,p,0.5332346,None,q,0,1,left,left,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,left,5,1,1,q,0.428574,None,1,1,5,0,,,,,5.9899314,,,,,,,,,5.9737298,5.9899314,6.1897877,6.173341,6.173341,6.173341,,,6.6071264,q,0.428574,None,p,0,0,left,right,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
circle,right,6,2,1,p,0.4050298,None,1,2,6,3,,,,,6.6232533,,,,,,,,,6.6079387,6.6232533,6.8232331,6.8067176,6.8067176,6.8067176,,,7.2233107,p,0.4050298,None,q,0,0,right,left,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,right,7,3,1,q,0.3903613,None,1,3,7,1,,,,,7.2400605,,,,,,,,,7.2236815,7.2400605,7.4399072,7.4231188,7.4231188,7.4231188,,,7.8236129,q,0.3903613,None,p,0,1,right,right,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
circle,left,8,0,2,p,0.3539285,None,2,0,8,2,,,,,7.8398853,,,,,,,,,7.8242118,7.8398853,8.0399538,8.0231858,8.0231858,8.0231858,,,8.3900378,p,0.3539285,None,q,0,1,left,left,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,left,9,1,2,p,0.4046794,None,2,1,9,0,,,,,8.406308,,,,,,,,,8.3905433,8.406308,8.606407,8.589685,8.589685,8.589685,,,9.0067441,p,0.4046794,None,p,1,0,left,right,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,right,10,2,2,q,0.3873709,None,2,2,10,1,,,,,9.0228154,,,,,,,,,9.0073786,9.0228154,9.2228312,9.2062845,9.2062845,9.2062845,,,9.6067116,q,0.3873709,None,p,0,1,right,right,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
circle,right,11,3,2,p,0.4682426,None,2,3,11,3,,,,,9.6228107,,,,,,,,,9.6073408,9.6228107,9.8228166,9.8062719,9.8062719,9.8062719,10.3062551,10.3062551,10.2900645,p,0.4682426,None,q,0,0,right,left,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
circle,left,12,0,3,p,0.3883865,None,3,0,12,2,,,,,10.3062551,,,,,,,,,10.2906641,10.3062551,10.5062577,10.4896134,10.4896134,10.4896134,,,10.890011,p,0.3883865,None,q,0,1,left,left,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
circle,right,13,1,3,p,0.4522098,None,3,1,13,3,,,,,10.9062194,,,,,,,,,10.890637,10.9062194,11.1062427,11.089582,11.089582,11.089582,,,11.5566785,p,0.4522098,None,q,0,0,right,left,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,left,14,2,3,q,0.3662172,None,3,2,14,0,,,,,11.5731262,,,,,,,,,11.5570416,11.5731262,11.7730694,11.7563218,11.7563218,11.7563218,,,12.1237497,q,0.3662172,None,p,0,0,left,right,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,right,15,3,3,q,0.5401109,None,3,3,15,1,,,,,12.1397942,,,,,,,,,12.1244448,12.1397942,12.3396996,12.3228899,12.3228899,12.3228899,12.8229427,12.8229427,12.8736644,q,0.5401109,None,p,0,1,right,right,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,left,16,0,4,q,0.3524987,None,4,0,16,0,,,,,12.8898576,,,,,,,,,12.8746958,12.8898576,13.0896956,13.0730235,13.0730235,13.0730235,,,13.4401677,q,0.3524987,None,p,0,0,left,right,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
circle,right,17,1,4,p,0.4134909,None,4,1,17,3,,,,,13.456464,,,,,,,,,13.4409168,13.456464,13.6563392,13.6396308,13.6396308,13.6396308,,,14.0565106,p,0.4134909,None,q,0,0,right,left,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
circle,left,18,2,4,q,0.368581,None,4,2,18,2,,,,,14.0731124,,,,,,,,,14.0568332,14.0731124,14.2730183,14.2563923,14.2563923,14.2563923,,,14.6403515,q,0.368581,None,q,1,1,left,left,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,right,19,3,4,p,0.3514723,None,4,3,19,1,,,,,14.656308,,,,,,,,,14.6411135,14.656308,14.8565084,14.8396954,14.8396954,14.8396954,,,15.2064313,p,0.3514723,None,p,1,1,right,right,,,,,,,,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2065102,15.2230922,15.2230922,15.990054,space,0.7572331,None,,,,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,left,0,0,0,q,0.3165794,None,,,,,0,0,0,0,16.0064129,,,,,,,,,15.9930397,16.0064129,16.2063169,16.1896061,16.1896061,16.1896061,,,16.5065691,,,,p,0,0,left,right,,,,,,,,q,0.3165794,None,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,right,1,1,0,q,0.3748252,None,,,,,0,1,1,1,16.5230233,,,,,,,,,16.5068768,16.5230233,16.7230508,16.7065201,16.7065201,16.7065201,,,17.0902687,,,,p,0,1,right,right,,,,,,,,q,0.3748252,None,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
