shape,side,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,rectstim.started,circstim.started,key_resp.started,fixation.stopped,rectstim.stopped,circstim.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,corrKey,correct,congruent,stim_side,resp_side,Final_Instructions.started,text_2.started,key_resp_5.started,Final_Instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,experiment.key_resp.keys,experiment.key_resp.rt,experiment.key_resp.duration,Thank_You.started,ThankYou.started,key_resp_3.started,Thank_You.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,age,gender,date,expName,expVersion,psychopyVersion,frameRate,key_for_square,key_for_circle,expStart,
,,,,,,,,,,,,,,,,,,0.0014995000092312694,0.003966399992350489,0.003966399992350489,14.295827299996745,space,14.28298919997178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
square,left,0,0,0,q,0.6705508999875747,None,0,0,0,0,,,,,14.30761880002683,,,,,,,,,14.304128999996465,14.30761880002683,14.505968099983875,14.505968099983875,14.505968099983875,14.522443299996667,15.006036899983883,15.006036899983883,15.18932180001866,q,0.6705508999875747,None,q,1,1,left,left,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
square,right,1,1,0,q,0.9540938999853097,None,0,1,1,1,,,,,15.20581559999846,,,,,,,,,15.189654899993911,15.20581559999846,15.389325199997984,15.389325199997984,15.389325199997984,15.40602970001055,15.889190400019288,15.889190400019288,16.356580600026064,q,0.9540938999853097,None,q,1,0,right,left,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
circle,right,2,2,0,p,0.6024933999869972,None,0,2,2,3,,,,,16.37270140001783,,,,,,,,,16.35745599999791,16.37270140001783,16.556171100004576,16.556171100004576,16.556171100004576,16.572507400007453,17.055893999990076,17.055893999990076,17.173165999993216,p,0.6024933999869972,None,p,1,1,right,right,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
circle,left,3,3,0,p,0.4950519999838434,None,0,3,3,2,,,,,17.18942239996977,,,,,,,,,17.173672200005967,17.18942239996977,17.372548900020774,17.372548900020774,17.372548900020774,17.38936139998259,17.872512499976438,17.872512499976438,17.873028000001796,p,0.4950519999838434,None,p,1,0,left,right,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
circle,right,4,0,1,p,0.5293641000171192,None,1,0,4,3,,,,,17.889497299969662,,,,,,,,,17.87351679999847,17.889497299969662,18.07271410000976,18.07271410000976,18.07271410000976,18.089404699974693,18.572451499989256,18.572451499989256,18.606105500017293,p,0.5293641000171192,None,p,1,1,right,right,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
square,right,5,1,1,q,0.4601574999978766,None,1,1,5,1,,,,,18.622648900025524,,,,,,,,,18.606593600008637,18.622648900025524,18.806023599987384,18.806023599987384,18.806023599987384,18.822720399999525,,,19.273256600019522,q,0.4601574999978766,None,q,1,0,right,left,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
square,left,6,2,1,q,0.37255550001282245,None,1,2,6,0,,,,,19.28955380001571,,,,,,,,,19.273902799992356,19.28955380001571,19.472651300020516,19.472651300020516,19.472651300020516,19.48929689999204,,,19.85660719999578,q,0.37255550001282245,None,q,1,1,left,left,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
circle,left,7,3,1,q,0.35251510003581643,None,1,3,7,2,,,,,19.872479900019243,,,,,,,,,19.85704460000852,19.872479900019243,20.0562664999743,20.0562664999743,20.0562664999743,20.072637900011614,,,20.423262100026477,q,0.35251510003581643,None,p,0,0,left,right,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
square,left,8,0,2,q,0.6246312000439502,None,2,0,8,0,,,,,20.439230200019665,,,,,,,,,20.423560599971097,20.439230200019665,20.62276130000828,20.62276130000828,20.62276130000828,20.63925070001278,21.12227290001465,21.12227290001465,21.256469800020568,q,0.6246312000439502,None,q,1,1,left,left,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
circle,right,9,1,2,p,0.45154550002189353,None,2,1,9,3,,,,,21.272538600023836,,,,,,,,,21.256902499997523,21.272538600023836,21.45594070001971,21.45594070001971,21.45594070001971,21.472650600015186,,,21.922935399983544,p,0.45154550002189353,None,p,1,1,right,right,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
square,right,10,2,2,q,0.6001007000450045,None,2,2,10,1,,,,,21.939151099999435,,,,,,,,,21.923461199970916,21.939151099999435,22.122798099997453,22.122798099997453,22.122798099997453,22.139352399972267,22.622213499969803,22.622213499969803,22.739739899989218,q,0.6001007000450045,None,q,1,0,right,left,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
circle,left,11,3,2,p,0.47320799995213747,None,2,3,11,2,,,,,22.755746699986048,,,,,,,,,22.740165899973363,22.755746699986048,22.938780599972233,22.938780599972233,22.938780599972233,22.94040690001566,23.43928330001654,23.43928330001654,23.42325669998536,p,0.47320799995213747,None,p,1,0,left,right,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
circle,right,12,0,3,p,0.467763599997852,None,3,0,12,3,,,,,23.43928330001654,,,,,,,,,23.423563199990895,23.43928330001654,23.622478000004776,23.622478000004776,23.622478000004776,23.639084100024775,24.12232359999325,24.12232359999325,24.106191199971363,p,0.467763599997852,None,p,1,1,right,right,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
circle,left,13,1,3,p,0.3896381999948062,None,3,1,13,2,,,,,24.12232359999325,,,,,,,,,24.106495500018355,24.12232359999325,24.30613819998689,24.30613819998689,24.30613819998689,24.322460099996533,,,24.706736500025727,p,0.3896381999948062,None,p,1,0,left,right,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
square,left,14,2,3,q,0.47771050001028925,None,3,2,14,0,,,,,24.72240359999705,,,,,,,,,24.707493799971417,24.72240359999705,24.90610409999499,24.90610409999499,24.90610409999499,24.922760599991307,25.405938800016884,25.405938800016884,25.38983040000312,q,0.47771050001028925,None,q,1,1,left,left,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
square,right,15,3,3,q,0.44190119998529553,None,3,3,15,1,,,,,25.405938800016884,,,,,,,,,25.39037440001266,25.405938800016884,25.58908240002347,25.58908240002347,25.58908240002347,25.6057936999714,,,26.039681800000835,q,0.44190119998529553,None,q,1,0,right,left,,,,,,,,,,,,,,,,,,P004,001,21,woman,2025-11-20_10h26.51.166,SimonTask,,2025.1.1,60.015688101552,q,p,2025-11-20 10h27.02.808357 +0530,
