shape,side,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,rectstim.started,circstim.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,corrKey,correct,congruent,stim_side,resp_side,rectstim.stopped,circstim.stopped,Final_Instructions.started,text_2.started,key_resp_5.started,Final_Instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,experiment.key_resp.keys,experiment.key_resp.rt,experiment.key_resp.duration,Thank_You.started,ThankYou.started,key_resp_3.started,Thank_You.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,age,gender,date,expName,expVersion,psychopyVersion,frameRate,key_for_square,key_for_circle,expStart,
,,,,,,,,,,,,,,,,,,0.0016049999976530671,0.004806999932043254,0.004806999932043254,0.7698092999635264,space,0.7052517998963594,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P005,001,21,man,2025-11-20_20h14.08.158,SimonTask,,2025.1.1,59.99458851675276,q,p,2025-11-20 20h14.16.979250 +0530,
square,left,0,0,0,q,0.4517832000274211,None,0,0,0,0,,,,,0.7858378000091761,,,,,,,,,0.7835851999698207,0.7858378000091761,0.9773096999851987,0.9773096999851987,0.9773096999851987,0.9942382000153884,1.4443759999703616,q,0.4517832000274211,None,q,1,1,left,left,,,,,,,,,,,,,,,,,,,,P005,001,21,man,2025-11-20_20h14.08.158,SimonTask,,2025.1.1,59.99458851675276,q,p,2025-11-20 20h14.16.979250 +0530,
circle,right,1,1,0,p,0.4452919000759721,None,0,1,1,3,,,,,1.4605693999910727,,,,,,,,,1.4451169999083504,1.4605693999910727,1.6441093999892473,1.6441093999892473,1.6441093999892473,1.6606450999388471,2.094681299990043,p,0.4452919000759721,None,p,1,1,right,right,,,,,,,,,,,,,,,,,,,,P005,001,21,man,2025-11-20_20h14.08.158,SimonTask,,2025.1.1,59.99458851675276,q,p,2025-11-20 20h14.16.979250 +0530,
circle,left,2,2,0,p,0.38448699994478375,None,0,2,2,2,,,,,2.1106372999493033,,,,,,,,,2.0952419999521226,2.1106372999493033,2.2939014999428764,2.2939014999428764,2.2939014999428764,2.310836600023322,2.6944047999568284,p,0.38448699994478375,None,p,1,0,left,right,,,,,,,,,,,,,,,,,,,,P005,001,21,man,2025-11-20_20h14.08.158,SimonTask,,2025.1.1,59.99458851675276,q,p,2025-11-20 20h14.16.979250 +0530,
square,right,3,3,0,q,0.33983519999310374,None,0,3,3,1,,,,,2.710631800000556,,,,,,,,,2.694750899914652,2.710631800000556,2.8939674999564886,2.8939674999564886,2.8939674999564886,2.91067639994435,3.2446800000034273,q,0.33983519999310374,None,q,1,0,right,left,,,,,,,,,,,,,,,,,,,,P005,001,21,man,2025-11-20_20h14.08.158,SimonTask,,2025.1.1,59.99458851675276,q,p,2025-11-20 20h14.16.979250 +0530,
square,right,4,0,1,q,0.4344558999873698,None,1,0,4,1,,,,,3.2607280999654904,,,,,,,,,3.245287299971096,3.2607280999654904,3.444163899985142,3.444163899985142,3.444163899985142,3.4606333000119776,3.894203700008802,q,0.4344558999873698,None,q,1,0,right,left,,,,,,,,,,,,,,,,,,,,P005,001,21,man,2025-11-20_20h14.08.158,SimonTask,,2025.1.1,59.99458851675276,q,p,2025-11-20 20h14.16.979250 +0530,
circle,left,5,1,1,p,0.41770350001752377,None,1,1,5,2,,,,,3.910594900022261,,,,,,,,,3.894496599910781,3.910594900022261,4.094043700024486,4.094043700024486,4.094043700024486,4.110589199932292,4.52753219997976,p,0.41770350001752377,None,p,1,0,left,right,,,,,,,,,,,,,,,,,,,,P005,001,21,man,2025-11-20_20h14.08.158,SimonTask,,2025.1.1,59.99458851675276,q,p,2025-11-20 20h14.16.979250 +0530,
circle,right,6,2,1,p,0.5569957999978215,None,1,2,6,3,,,,,4.544079300016165,,,,,,,,,4.52788840001449,4.544079300016165,4.72739100002218,4.72739100002218,4.72739100002218,4.744124999968335,5.294408099958673,p,0.5569957999978215,None,p,1,1,right,right,5.2273192999418825,5.2273192999418825,,,,,,,,,,,,,,,,,,P005,001,21,man,2025-11-20_20h14.08.158,SimonTask,,2025.1.1,59.99458851675276,q,p,2025-11-20 20h14.16.979250 +0530,
square,left,7,3,1,q,0.39321460004430264,None,1,3,7,0,,,,,5.3104972000001,,,,,,,,,5.29495239991229,5.3104972000001,5.493748200009577,5.493748200009577,5.493748200009577,5.5102945999242365,5.894205400021747,q,0.39321460004430264,None,q,1,1,left,left,,,,,,,,,,,,,,,,,,,,P005,001,21,man,2025-11-20_20h14.08.158,SimonTask,,2025.1.1,59.99458851675276,q,p,2025-11-20 20h14.16.979250 +0530,
square,right,8,0,2,q,0.44940510008018464,None,2,0,8,1,,,,,5.910272700013593,,,,,,,,,5.894823499955237,5.910272700013593,6.093736600014381,6.093736600014381,6.093736600014381,6.110289599979296,6.544181099976413,q,0.44940510008018464,None,q,1,0,right,left,,,,,,,,,,,,,,,,,,,,P005,001,21,man,2025-11-20_20h14.08.158,SimonTask,,2025.1.1,59.99458851675276,q,p,2025-11-20 20h14.16.979250 +0530,
