thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,key_resp_2.started,text.started,text.stopped,Welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,Fixation.stopped,key_resp.started,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,key_resp_3.started,text_2.started,text_2.stopped,Thank_You.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,0.0015337,0.0048736,0.0048736,1.014102,2.0378819,space,2.0204718,None,,,,,,,,,,,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
0,0,0,3,down,1,0.894271,None,0,0,0,0,2.0472132,,,,,,,,,,2.0390368,2.0472132,3.0469465,3.0469465,3.9479857,3,down,1,0.894271,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
1,0,1,0,up,1,0.3903038,None,1,0,1,0,3.9641843,,,,,,,,,,3.9484294,3.9641843,4.964165,4.9475358,5.3479694,0,up,1,0.3903038,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
2,0,2,-3,down,1,0.6597737,None,2,0,2,0,5.3640332,,,,,,,,,,5.3484353,5.3640332,6.3640305,6.3471408,7.0148581,-3,down,1,0.6597737,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
3,0,3,0,up,1,0.3854695,None,3,0,3,0,7.0307758,,,,,,,,,,7.0152914,7.0307758,8.0307513,8.014027,8.4147436,0,up,1,0.3854695,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
4,0,4,2,up,0,0.3852848,None,4,0,4,0,8.4306264,,,,,,,,,,8.4152032,8.4306264,9.4306148,9.4140936,9.8145199,2,up,0,0.3852848,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
5,0,5,0,up,1,0.7299709,None,5,0,5,0,9.8305221,,,,,,,,,,9.8149137,9.8305221,10.8306069,10.8138278,11.5477596,0,up,1,0.7299709,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
6,0,6,0,up,1,0.5520831,None,6,0,6,0,11.5638829,,,,,,,,,,11.5481861,11.5638829,12.5638688,12.5471179,13.113649,0,up,1,0.5520831,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
7,0,7,-2,down,1,0.5631649,None,7,0,7,0,13.1298891,,,,,,,,,,13.1138646,13.1298891,14.1302504,14.1137249,14.6809098,-2,down,1,0.5631649,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
8,0,8,0,down,0,0.4595579,None,8,0,8,0,14.6972327,,,,,,,,,,14.6813322,14.6972327,15.6968624,15.6803754,16.1472243,0,down,0,0.4595579,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
9,0,9,-3,down,1,0.561318,None,9,0,9,0,16.1634344,,,,,,,,,,16.1474025,16.1634344,17.1635866,17.14685,17.7142863,-3,down,1,0.561318,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
10,0,10,0,up,1,0.5505135,None,10,0,10,0,17.730027,,,,,,,,,,17.7147175,17.730027,18.7304834,18.713851,19.2808603,0,up,1,0.5505135,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
11,0,11,-3,down,1,0.4508857,None,11,0,11,0,19.2969816,,,,,,,,,,19.2813121,19.2969816,20.2966685,20.2800458,20.7475164,-3,down,1,0.4508857,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
12,0,12,-2,down,1,0.5169563,None,12,0,12,0,20.7636029,,,,,,,,,,20.7479448,20.7636029,21.763718,21.7470017,22.2808368,-2,down,1,0.5169563,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
13,0,13,-5,up,0,0.4739251,None,13,0,13,0,22.2967648,,,,,,,,,,22.2812282,22.2967648,23.2967919,23.2967919,23.7807899,-5,up,0,0.4739251,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
14,0,14,-5,down,1,0.4757329,None,14,0,14,0,23.797032,,,,,,,,,,23.7812552,23.797032,24.7970276,24.780148,25.2641847,-5,down,1,0.4757329,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
15,0,15,2,up,0,0.470897,None,15,0,15,0,25.2801224,,,,,,,,,,25.2645719,25.2801224,26.2799763,26.2635109,26.7472422,2,up,0,0.470897,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
16,0,16,3,down,1,0.5346998,None,16,0,16,0,26.7636419,,,,,,,,,,26.7476814,26.7636419,27.7635823,27.7466774,28.2972882,3,down,1,0.5346998,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
17,0,17,-4,down,1,0.6071551,None,17,0,17,0,28.3134343,,,,,,,,,,28.297735,28.3134343,29.3135072,29.2968549,29.9138555,-4,down,1,0.6071551,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
18,0,18,0,up,1,0.64299,None,18,0,18,0,29.9299696,,,,,,,,,,29.9142811,29.9299696,30.9299976,30.9135352,31.5640534,0,up,1,0.64299,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
19,0,19,-2,down,1,0.4561653,None,19,0,19,0,31.5799344,,,,,,,,,,31.5645226,31.5799344,32.5802074,32.5635054,33.0304331,-2,down,1,0.4561653,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
20,0,20,1,down,1,0.4944538,None,20,0,20,0,33.0467367,,,,,,,,,,33.0309303,33.0467367,34.0464349,34.029986,34.5304255,1,down,1,0.4944538,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
21,0,21,-4,down,1,0.4828637,None,21,0,21,0,34.5465776,,,,,,,,,,34.5309674,34.5465776,35.5466692,35.5298032,36.0135666,-4,down,1,0.4828637,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
22,0,22,0,up,1,0.5111345,None,22,0,22,0,36.02978,,,,,,,,,,36.0139859,36.02978,37.0298498,37.0131936,37.5305275,0,up,1,0.5111345,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
23,0,23,0,up,1,0.6459517,None,23,0,23,0,37.5466526,,,,,,,,,,37.5309484,37.5466526,38.5464281,38.5300016,39.1798034,0,up,1,0.6459517,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
24,0,24,2,down,1,0.8763962,None,24,0,24,0,39.1963073,,,,,,,,,,39.1799837,39.1963073,40.196247,40.1795218,41.063621,2,down,1,0.8763962,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
25,0,25,-3,down,1,0.5313813,None,25,0,25,0,41.0796443,,,,,,,,,,41.0640885,41.0796443,42.0796821,42.0632658,42.5967947,-3,down,1,0.5313813,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
26,0,26,0,up,1,0.4441669,None,26,0,26,0,42.6130331,,,,,,,,,,42.5970947,42.6130331,43.6129697,43.5964791,44.0464709,0,up,1,0.4441669,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
27,0,27,1,down,1,0.7205161,None,27,0,27,0,44.0630672,,,,,,,,,,44.0467541,44.0630672,45.0628073,45.0462167,45.7803365,1,down,1,0.7205161,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
28,0,28,0,up,1,0.3264597,None,28,0,28,0,45.7964316,,,,,,,,,,45.7807548,45.7964316,46.7963467,46.7795833,47.1134814,0,up,1,0.3264597,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
29,0,29,0,up,1,0.635444,None,29,0,29,0,47.1293141,,,,,,,,,,47.1139248,47.1293141,48.1291328,48.1127629,48.7635719,0,up,1,0.635444,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
30,0,30,3,down,1,0.5474877,None,30,0,30,0,48.7794712,,,,,,,,,,48.7640418,48.7794712,49.7792876,49.7630279,50.3133287,3,down,1,0.5474877,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
31,0,31,2,down,1,0.5106721,None,31,0,31,0,50.329468,,,,,,,,,,50.3137247,50.329468,51.3290829,51.3127128,51.8298523,2,down,1,0.5106721,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
32,0,32,-2,up,0,0.5510818,None,32,0,32,0,51.8461686,,,,,,,,,,51.8302832,51.8461686,52.8460964,52.8294079,53.3967647,-2,up,0,0.5510818,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
33,0,33,0,up,1,0.5521988,None,33,0,33,0,53.4126427,,,,,,,,,,53.3971849,53.4126427,54.4126795,54.3960207,54.9625792,0,up,1,0.5521988,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
34,0,34,0,up,1,0.5359755,None,34,0,34,0,54.9788903,,,,,,,,,,54.9627532,54.9788903,55.9794384,55.9627681,56.5132904,0,up,1,0.5359755,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
35,0,35,0,up,1,0.4659212,None,35,0,35,0,56.5292492,,,,,,,,,,56.5137086,56.5292492,57.5292054,57.5127726,57.979797,0,up,1,0.4659212,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
36,0,36,4,down,1,0.4432982,None,36,0,36,0,57.9960448,,,,,,,,,,57.9804855,57.9960448,58.9960232,58.9794095,59.4296504,4,down,1,0.4432982,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
37,0,37,0,down,0,0.5236305,None,37,0,37,0,59.4459508,,,,,,,,,,59.4301444,59.4459508,60.4458162,60.4291611,60.9629164,0,down,0,0.5236305,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
38,0,38,0,up,1,0.5181368,None,38,0,38,0,60.9792472,,,,,,,,,,60.9633465,60.9792472,61.9790798,61.962584,62.4963875,0,up,1,0.5181368,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
39,0,39,0,up,1,0.6231972,None,39,0,39,0,62.5126137,,,,,,,,,,62.4968082,62.5126137,63.5124781,63.4959988,64.1294613,0,up,1,0.6231972,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
40,0,40,0,up,1,0.6670838,None,40,0,40,0,64.1455424,,,,,,,,,,64.1299877,64.1455424,65.145626,65.1290529,65.8130042,0,up,1,0.6670838,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
41,0,41,-5,down,1,0.4292059,None,41,0,41,0,65.8290084,,,,,,,,,,65.8133751,65.8290084,66.8291074,66.812432,67.2454284,-5,down,1,0.4292059,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
42,0,42,0,up,1,0.4435048,None,42,0,42,0,67.2621047,,,,,,,,,,67.2456087,67.2621047,68.2619697,68.2453343,68.6961957,0,up,1,0.4435048,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
43,0,43,-2,down,1,0.6150113,None,43,0,43,0,68.7122251,,,,,,,,,,68.6966782,68.7122251,69.7122815,69.6956134,70.3126922,-2,down,1,0.6150113,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
44,0,44,2,down,1,0.7703514,None,44,0,44,0,70.3288503,,,,,,,,,,70.3131543,70.3288503,71.3286201,71.3120772,72.0960129,2,down,1,0.7703514,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
45,0,45,2,up,0,0.5140389,None,45,0,45,0,72.1120398,,,,,,,,,,72.0964413,72.1120398,73.1119755,73.1119755,73.6292778,2,up,0,0.5140389,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
46,0,46,0,down,0,0.6956239,None,46,0,46,0,73.6455875,,,,,,,,,,73.6297738,73.6455875,74.6455721,74.6287325,75.3291928,0,down,0,0.6956239,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
47,0,47,2,down,1,0.56979,None,47,0,47,0,75.3455095,,,,,,,,,,75.3296587,75.3455095,76.3453521,76.3288244,76.9126948,2,down,1,0.56979,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
48,0,48,2,down,1,0.4763574,None,48,0,48,0,76.9288377,,,,,,,,,,76.9131724,76.9288377,77.9286874,77.9120065,78.3963781,2,down,1,0.4763574,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
49,0,49,0,down,0,0.9508595,None,49,0,49,0,78.4121135,,,,,,,,,,78.396798,78.4121135,79.4121763,79.3953917,80.3625307,0,down,0,0.9508595,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
50,0,50,2,down,1,0.4686582,None,50,0,50,0,80.3787308,,,,,,,,,,80.3630453,80.3787308,81.3785307,81.3620603,81.845895,2,down,1,0.4686582,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
51,0,51,0,down,0,0.4459197,None,51,0,51,0,81.8620034,,,,,,,,,,81.8462971,81.8620034,82.861894,82.8455936,83.2956771,0,down,0,0.4459197,None,,,,,,,,,P0001,1,2025-09-10_16h11.28.409,SignalDetection_Experiment,,2025.1.1,59.65928582,2025-09-10 16h11.35.309044 +0530
