Staircase.thisTrialN,Staircase.stepSize,Staircase.intensity,thisRow.t,notes,Welcome.started,text.started,key_resp_2.started,Welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,Staircase.response,key_resp.rt,Thank_You.started,text_2.started,key_resp_3.started,Thank_You.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,Gender,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,0.0164325,0.0343802,0.0343802,1.798817,space,1.7477074,None,,,,,,,,,,,,,,,,,,,,P1,1,Man,,2025-09-03_23h46.10.038,StairCase_Experiment,,2025.1.1,59.71832064,2025-09-03 23h46.15.363747 +0530
0,10,10,1.8171012,,,,,,,,,1.7991999,1.8171012,2.3034667,2.3034667,2.3192345,2.6185027,2.6863667,right,10,1,1,0.3686011,,,,,,,,P1,1,Man,,2025-09-03_23h46.10.038,StairCase_Experiment,,2025.1.1,59.71832064,2025-09-03 23h46.15.363747 +0530
1,10,1,2.7029869,,,,,,,,,2.6867925,2.7029869,3.2020763,3.2020763,3.2020763,3.5020899,3.6695109,left,-1,1,1,0.4582968,,,,,,,,P1,1,Man,,2025-09-03_23h46.10.038,StairCase_Experiment,,2025.1.1,59.71832064,2025-09-03 23h46.15.363747 +0530
2,10,1,3.6860601,,,,,,,,,3.6698674,3.6860601,4.1685658,4.1685658,4.1858964,4.4690239,4.8032927,left,-1,1,1,0.6295346,,,,,,,,P1,1,Man,,2025-09-03_23h46.10.038,StairCase_Experiment,,2025.1.1,59.71832064,2025-09-03 23h46.15.363747 +0530
3,10,1,4.8194344,,,,,,,,,4.803662,4.8194344,5.3192699,5.3192699,5.3192699,5.6195066,5.8862748,left,-1,1,1,0.5612355,,,,,,,,P1,1,Man,,2025-09-03_23h46.10.038,StairCase_Experiment,,2025.1.1,59.71832064,2025-09-03 23h46.15.363747 +0530
4,5,1,5.9021504,,,,,,,,,5.8866728,5.9021504,6.3853646,6.3853646,6.4025957,6.685885,6.8363843,left,-1,0,0,0.4406194,,,,,,,,P1,1,Man,,2025-09-03_23h46.10.038,StairCase_Experiment,,2025.1.1,59.71832064,2025-09-03 23h46.15.363747 +0530
5,2.5,20,6.8510733,,,,,,,,,6.8367611,6.8510733,7.3499733,7.3499733,7.3499733,7.6512669,7.8182079,left,-20,1,1,0.4657467,,,,,,,,P1,1,Man,,2025-09-03_23h46.10.038,StairCase_Experiment,,2025.1.1,59.71832064,2025-09-03 23h46.15.363747 +0530
6,2.5,1,7.8336776,,,,,,,,,7.8183633,7.8336776,8.3173152,8.3173152,8.3344638,8.6182082,8.8512329,right,1,1,1,0.5210717,,,,,,,,P1,1,Man,,2025-09-03_23h46.10.038,StairCase_Experiment,,2025.1.1,59.71832064,2025-09-03 23h46.15.363747 +0530
7,2.5,1,8.8674844,,,,,,,,,8.8515912,8.8674844,9.3502335,9.3502335,9.3667882,9.6516643,9.9682398,left,-1,0,0,0.6053872,,,,,,,,P1,1,Man,,2025-09-03_23h46.10.038,StairCase_Experiment,,2025.1.1,59.71832064,2025-09-03 23h46.15.363747 +0530
8,2.5,1,9.9841223,,,,,,,,,9.9684479,9.9841223,10.4673319,10.4673319,10.4843059,10.7674159,11.0184825,left,-1,0,0,0.5398048,,,,,,,,P1,1,Man,,2025-09-03_23h46.10.038,StairCase_Experiment,,2025.1.1,59.71832064,2025-09-03 23h46.15.363747 +0530
