thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(0.4638888888888889)],[np.float64(0.20277777777777778)],[1],[0],[0],[1.7399718000087887],['Target'],0,0,0,0,0.0386527,,5,0.0242757,0.0386527,0.0386527,0.0242903,1.7643332,[np.float64(0.4638888888888889)],[np.float64(0.20277777777777778)],[1],[0],[0],[1.7399718000087887],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
1,0,1,[np.float64(0.37083333333333335)],[np.float64(-0.10694444444444444)],[1],[0],[0],[0.9536774000152946],['Target'],1,0,1,0,1.8052507,,10,1.7912646,1.8052507,1.8052507,0.0267434,2.7453646,[np.float64(0.37083333333333335)],[np.float64(-0.10694444444444444)],[1],[0],[0],[0.9536774000152946],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
2,0,2,[np.float64(-0.17916666666666667)],[np.float64(-0.2152777777777778)],[1],[0],[0],[0.9369629999855533],['Target'],2,0,2,0,2.7889951,,10,2.7730903,2.7889951,2.7889951,0.0271704,3.7101125,[np.float64(-0.17916666666666667)],[np.float64(-0.2152777777777778)],[1],[0],[0],[0.9369629999855533],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
3,0,3,[np.float64(-0.32222222222222224)],[np.float64(0.4375)],[1],[0],[0],[1.5587422999669798],['Target'],3,0,3,0,3.7552223,,10,3.7365226,3.7552223,3.7552223,0.0262887,5.2953517,[np.float64(-0.32222222222222224)],[np.float64(0.4375)],[1],[0],[0],[1.5587422999669798],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
4,0,4,[np.float64(-0.16527777777777777)],[np.float64(-0.03611111111111111)],[1],[0],[0],[1.00028450001264],['Target'],4,0,4,0,5.3387524,,10,5.3234425,5.3387524,5.3387524,0.0279275,6.3237824,[np.float64(-0.16527777777777777)],[np.float64(-0.03611111111111111)],[1],[0],[0],[1.00028450001264],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
5,0,5,[np.float64(-0.2388888888888889)],[np.float64(-0.022222222222222223)],[1],[0],[0],[1.085105600010138],[None],5,0,5,0,6.372481,,10,6.3443621,6.372481,6.372481,0.0204547,7.4295313,[np.float64(-0.2388888888888889)],[np.float64(-0.022222222222222223)],[1],[0],[0],[1.085105600010138],[None],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
6,0,6,[np.float64(-0.3416666666666667)],[np.float64(-0.42083333333333334)],[1],[0],[0],[0.9474239000119269],[None],6,0,6,0,7.5384239,,10,7.5133283,7.5384239,7.5384239,0.0836834,8.4608042,[np.float64(-0.3416666666666667)],[np.float64(-0.42083333333333334)],[1],[0],[0],[0.9474239000119269],[None],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
7,0,7,[np.float64(0.24861111111111112)],[np.float64(0.4)],[1],[0],[0],[1.3097523000324145],[None],7,0,7,0,8.5051538,,10,8.4841468,8.5051538,8.5051538,0.0232191,9.7939675,[np.float64(0.24861111111111112)],[np.float64(0.4)],[1],[0],[0],[1.3097523000324145],[None],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
8,0,8,[np.float64(0.29583333333333334)],[np.float64(0.45416666666666666)],[1],[0],[0],[0.816286500019487],['Target'],8,0,8,0,9.8392709,,10,9.8252008,9.8392709,9.8392709,0.0310573,10.6415349,[np.float64(0.29583333333333334)],[np.float64(0.45416666666666666)],[1],[0],[0],[0.816286500019487],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
9,0,9,[np.float64(0.04722222222222222)],[np.float64(-0.07361111111111111)],[1],[0],[0],[1.1274311000015587],[None],9,0,9,0,10.6726831,,5,10.6520367,10.6726831,10.6726831,0.0103743,11.7795728,[np.float64(0.04722222222222222)],[np.float64(-0.07361111111111111)],[1],[0],[0],[1.1274311000015587],[None],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
