thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.25833333333333336)],[np.float64(-0.20972222222222223)],[1],[0],[0],[1.2665627999813296],['Target'],0,0,0,0,0.10048789996653795,,10,0.0691440999507904,0.10048789996653795,0.10048789996653795,0.06918349995976314,1.3358134999871254,[np.float64(-0.25833333333333336)],[np.float64(-0.20972222222222223)],[1],[0],[0],[1.2665627999813296],['Target'],P2,001,2025-09-30_15h34.46.001,VisualSearch,,2025.1.1,59.38284597376438,2025-09-30 15h34.50.277263 +0530,
1,0,1,[np.float64(-0.23194444444444445)],[np.float64(0.14722222222222223)],[1],[0],[0],[0.9194484000327066],[None],1,0,1,0,1.3675119999679737,,5,1.355928499950096,1.3675119999679737,1.3675119999679737,0.019864600035361946,2.275527499965392,[np.float64(-0.23194444444444445)],[np.float64(0.14722222222222223)],[1],[0],[0],[0.9194484000327066],[None],P2,001,2025-09-30_15h34.46.001,VisualSearch,,2025.1.1,59.38284597376438,2025-09-30 15h34.50.277263 +0530,
2,0,2,[np.float64(-0.3138888888888889)],[np.float64(-0.24861111111111112)],[1],[0],[0],[0.8554163000080734],[None],2,0,2,0,2.3508641999796964,,10,2.3228046000003815,2.3508641999796964,2.3508641999796964,0.04698869999265298,3.1784218999673612,[np.float64(-0.3138888888888889)],[np.float64(-0.24861111111111112)],[1],[0],[0],[0.8554163000080734],[None],P2,001,2025-09-30_15h34.46.001,VisualSearch,,2025.1.1,59.38284597376438,2025-09-30 15h34.50.277263 +0530,
3,0,3,[np.float64(0.009722222222222222)],[np.float64(0.4486111111111111)],[1],[0],[0],[1.2412541000521742],[None],3,0,3,0,3.2340644999640062,,10,3.213723699969705,3.2340644999640062,3.2340644999640062,0.034791700018104166,4.455189600004815,[np.float64(0.009722222222222222)],[np.float64(0.4486111111111111)],[1],[0],[0],[1.2412541000521742],[None],P2,001,2025-09-30_15h34.46.001,VisualSearch,,2025.1.1,59.38284597376438,2025-09-30 15h34.50.277263 +0530,
4,0,4,[np.float64(0.17222222222222222)],[np.float64(-0.19027777777777777)],[1],[0],[0],[1.0754463999764994],[None],4,0,4,0,4.500587799993809,,5,4.483777299989015,4.500587799993809,4.500587799993809,0.02810140000656247,5.559381500002928,[np.float64(0.17222222222222222)],[np.float64(-0.19027777777777777)],[1],[0],[0],[1.0754463999764994],[None],P2,001,2025-09-30_15h34.46.001,VisualSearch,,2025.1.1,59.38284597376438,2025-09-30 15h34.50.277263 +0530,
5,0,5,[np.float64(0.31666666666666665)],[np.float64(-0.19722222222222222)],[1],[0],[0],[1.0836076999548823],['Target'],5,0,5,0,5.61709679994965,,10,5.604632199974731,5.61709679994965,5.61709679994965,0.044979400001466274,6.6884615999879315,[np.float64(0.31666666666666665)],[np.float64(-0.19722222222222222)],[1],[0],[0],[1.0836076999548823],['Target'],P2,001,2025-09-30_15h34.46.001,VisualSearch,,2025.1.1,59.38284597376438,2025-09-30 15h34.50.277263 +0530,
6,0,6,[np.float64(0.5013888888888889)],[np.float64(0.18888888888888888)],[1],[0],[0],[1.0240514000179246],['Target'],6,0,6,0,6.7333826999529265,,10,6.718853099970147,6.7333826999529265,6.7333826999529265,0.029866700002457947,7.743052999954671,[np.float64(0.5013888888888889)],[np.float64(0.18888888888888888)],[1],[0],[0],[1.0240514000179246],['Target'],P2,001,2025-09-30_15h34.46.001,VisualSearch,,2025.1.1,59.38284597376438,2025-09-30 15h34.50.277263 +0530,
7,0,7,[np.float64(-0.09305555555555556)],[np.float64(0.15416666666666667)],[1],[0],[0],[1.023591499950271],[None],7,0,7,0,7.8512136999634095,,5,7.7692181000020355,7.8512136999634095,7.8512136999634095,0.025819300033617765,8.792958299978636,[np.float64(-0.09305555555555556)],[np.float64(0.15416666666666667)],[1],[0],[0],[1.023591499950271],[None],P2,001,2025-09-30_15h34.46.001,VisualSearch,,2025.1.1,59.38284597376438,2025-09-30 15h34.50.277263 +0530,
8,0,8,[np.float64(-0.16111111111111112)],[np.float64(0.027777777777777776)],[1],[0],[0],[0.7448951000114903],[None],8,0,8,0,8.850247299997136,,10,8.83221439999761,8.850247299997136,8.850247299997136,0.03897829999914393,9.577351199986879,[np.float64(-0.16111111111111112)],[np.float64(0.027777777777777776)],[1],[0],[0],[0.7448951000114903],[None],P2,001,2025-09-30_15h34.46.001,VisualSearch,,2025.1.1,59.38284597376438,2025-09-30 15h34.50.277263 +0530,
9,0,9,[np.float64(-0.39861111111111114)],[np.float64(-0.3375)],[1],[0],[0],[1.1116999000078067],['Target'],9,0,9,0,9.633747399959248,,5,9.608663099992555,9.633747399959248,9.633747399959248,0.030850899987854064,10.720484199991915,[np.float64(-0.39861111111111114)],[np.float64(-0.3375)],[1],[0],[0],[1.1116999000078067],['Target'],P2,001,2025-09-30_15h34.46.001,VisualSearch,,2025.1.1,59.38284597376438,2025-09-30 15h34.50.277263 +0530,
