word,colour,condition,correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,text_2.started,key_resp_2.started,Welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,key_resp.started,text_4.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,text_3.started,key_resp_3.started,Thank_You.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,Age,Gender,date,expName,expVersion,psychopyVersion,frameRate,expStart
RED,red,c,r,2,2,0,r,1,0.7821574,None,0,2,2,1,6.8852187,,,,,,,,,6.8699362,6.8852187,7.8851496,7.8684155,7.8684155,8.6519563,r,1,0.7821574,None,,,,,,,,1001,1,21,Man,2025-08-24_18h58.14.180,StroopEffect,,2025.1.1,60.02844148,2025-08-24 18h58.25.110302 +0530
BLUE,blue,c,b,3,3,0,b,1,0.8596642,None,0,3,3,2,8.6683427,,,,,,,,,8.6535129,8.6683427,9.6686039,9.6518963,9.6518963,10.5195745,b,1,0.8596642,None,,,,,,,,1001,1,21,Man,2025-08-24_18h58.14.180,StroopEffect,,2025.1.1,60.02844148,2025-08-24 18h58.25.110302 +0530
BLUE,blue,c,b,4,0,1,b,1,0.4272268,None,1,0,4,2,10.5355811,,,,,,,,,10.5204554,10.5355811,11.5353086,11.5184867,11.5184867,11.9519894,b,1,0.4272268,None,,,,,,,,1001,1,21,Man,2025-08-24_18h58.14.180,StroopEffect,,2025.1.1,60.02844148,2025-08-24 18h58.25.110302 +0530
RED,red,c,r,7,3,1,r,1,0.7892791,None,1,3,7,1,15.3187981,,,,,,,,,15.3036551,15.3187981,16.3188489,16.301956,16.301956,17.1028133,r,1,0.7892791,None,,,,,,,,1001,1,21,Man,2025-08-24_18h58.14.180,StroopEffect,,2025.1.1,60.02844148,2025-08-24 18h58.25.110302 +0530
BLUE,blue,c,b,8,0,2,b,1,0.3703626,None,2,0,8,2,17.1185459,,,,,,,,,17.1072132,17.1185459,18.1186321,18.1186321,18.1186321,18.5026682,b,1,0.3703626,None,,,,,,,,1001,1,21,Man,2025-08-24_18h58.14.180,StroopEffect,,2025.1.1,60.02844148,2025-08-24 18h58.25.110302 +0530
RED,red,c,r,10,2,2,r,1,0.8096195,None,2,2,10,1,19.9350654,,,,,,,,,19.9203322,19.9350654,20.9352493,20.9187724,20.9187724,21.7357003,r,1,0.8096195,None,,,,,,,,1001,1,21,Man,2025-08-24_18h58.14.180,StroopEffect,,2025.1.1,60.02844148,2025-08-24 18h58.25.110302 +0530
BLUE,blue,c,b,13,1,3,b,1,0.4359451,None,3,1,13,2,25.5015185,,,,,,,,,25.4888089,25.5015185,26.5015985,26.4849666,26.4849666,26.9353238,b,1,0.4359451,None,,,,,,,,1001,1,21,Man,2025-08-24_18h58.14.180,StroopEffect,,2025.1.1,60.02844148,2025-08-24 18h58.25.110302 +0530
RED,red,c,r,15,3,3,r,1,0.4087709,None,3,3,15,1,28.5681291,,,,,,,,,28.5538429,28.5681291,29.5680551,29.5514947,29.5514947,29.9687145,r,1,0.4087709,None,,,,,,,,1001,1,21,Man,2025-08-24_18h58.14.180,StroopEffect,,2025.1.1,60.02844148,2025-08-24 18h58.25.110302 +0530
RED,red,c,r,17,1,4,r,1,0.4014725,None,4,1,17,1,31.3016894,,,,,,,,,31.2897705,31.3016894,32.3011523,32.3011523,32.3011523,32.7184918,r,1,0.4014725,None,,,,,,,,1001,1,21,Man,2025-08-24_18h58.14.180,StroopEffect,,2025.1.1,60.02844148,2025-08-24 18h58.25.110302 +0530
BLUE,blue,c,b,19,3,4,b,1,0.4076618,None,4,3,19,2,34.4845373,,,,,,,,,34.4730779,34.4845373,35.4849301,35.4681236,35.4681236,35.885472,b,1,0.4076618,None,,,,,,,,1001,1,21,Man,2025-08-24_18h58.14.180,StroopEffect,,2025.1.1,60.02844148,2025-08-24 18h58.25.110302 +0530
