word,colour,condition,correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,text_2.started,key_resp_2.started,Welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,key_resp.started,text_4.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,text_3.started,key_resp_3.started,Thank_You.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,Age,Gender,date,expName,expVersion,psychopyVersion,frameRate,expStart
BLUE,blue,c,b,1,1,0,b,1,0.6461665,None,0,1,1,2,2.1863389,,,,,,,,,2.1717159,2.1863389,3.1696175,3.1696175,3.1862757,3.8204601,b,1,0.6461665,None,,,,,,,,1002,1,21,Man,2025-08-24_18h59.52.755,StroopEffect,,2025.1.1,60.0457789,2025-08-24 19h00.01.957734 +0530
RED,red,c,r,3,3,0,r,1,0.4025942,None,0,3,3,1,5.6864375,,,,,,,,,5.6711483,5.6864375,6.6699036,6.6699036,6.6862957,7.0869766,r,1,0.4025942,None,,,,,,,,1002,1,21,Man,2025-08-24_18h59.52.755,StroopEffect,,2025.1.1,60.0457789,2025-08-24 19h00.01.957734 +0530
RED,red,c,r,4,0,1,r,1,0.4122899,None,1,0,4,1,7.1031725,,,,,,,,,7.0878769,7.1031725,8.086332,8.086332,8.1030038,8.5037079,r,1,0.4122899,None,,,,,,,,1002,1,21,Man,2025-08-24_18h59.52.755,StroopEffect,,2025.1.1,60.0457789,2025-08-24 19h00.01.957734 +0530
BLUE,blue,c,b,6,2,1,b,1,0.490697,None,1,2,6,2,10.3197405,,,,,,,,,10.3045389,10.3197405,11.3030312,11.3030312,11.319536,11.8034899,b,1,0.490697,None,,,,,,,,1002,1,21,Man,2025-08-24_18h59.52.755,StroopEffect,,2025.1.1,60.0457789,2025-08-24 19h00.01.957734 +0530
RED,red,c,r,10,2,2,r,1,0.6939998,None,2,2,10,1,16.7026837,,,,,,,,,16.6879798,16.7026837,17.7027429,17.7027429,17.7027429,18.4032222,r,1,0.6939998,None,,,,,,,,1002,1,21,Man,2025-08-24_18h59.52.755,StroopEffect,,2025.1.1,60.0457789,2025-08-24 19h00.01.957734 +0530
BLUE,blue,c,b,11,3,2,b,1,0.5305323,None,2,3,11,2,18.4192329,,,,,,,,,18.4076774,18.4192329,19.4028663,19.4028663,19.4193941,19.9366478,b,1,0.5305323,None,,,,,,,,1002,1,21,Man,2025-08-24_18h59.52.755,StroopEffect,,2025.1.1,60.0457789,2025-08-24 19h00.01.957734 +0530
BLUE,blue,c,b,12,0,3,b,1,0.4921542,None,3,0,12,2,19.9526224,,,,,,,,,19.9375766,19.9526224,20.9360441,20.9360441,20.952607,21.4364937,b,1,0.4921542,None,,,,,,,,1002,1,21,Man,2025-08-24_18h59.52.755,StroopEffect,,2025.1.1,60.0457789,2025-08-24 19h00.01.957734 +0530
RED,red,c,r,14,2,3,r,1,0.3083761,None,3,2,14,1,22.9856797,,,,,,,,,22.970466,22.9856797,23.9692999,23.9692999,23.9858471,24.2867657,r,1,0.3083761,None,,,,,,,,1002,1,21,Man,2025-08-24_18h59.52.755,StroopEffect,,2025.1.1,60.0457789,2025-08-24 19h00.01.957734 +0530
BLUE,blue,c,b,17,1,4,b,1,0.3367679,None,4,1,17,2,27.0354368,,,,,,,,,27.0242042,27.0354368,28.0187459,28.0187459,28.0354613,28.3695769,b,1,0.3367679,None,,,,,,,,1002,1,21,Man,2025-08-24_18h59.52.755,StroopEffect,,2025.1.1,60.0457789,2025-08-24 19h00.01.957734 +0530
RED,red,c,r,18,2,4,r,1,0.2638943,None,4,2,18,1,28.3855194,,,,,,,,,28.3737266,28.3855194,29.3687617,29.3687617,29.3853761,29.6359601,r,1,0.2638943,None,,,,,,,,1002,1,21,Man,2025-08-24_18h59.52.755,StroopEffect,,2025.1.1,60.0457789,2025-08-24 19h00.01.957734 +0530
