word,colour,condition,correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,text_2.started,key_resp_2.started,Welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,key_resp.started,text_4.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,text_3.started,key_resp_3.started,Thank_You.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,Age,Gender,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0015039999998407438,0.0038371999999071704,0.0038371999999071704,0.3669846999998754,space,0.35212659999979223,None,,,,,,,,,,,,,,,,,,1003,001,21,Woman,2025-08-24_19h01.11.938,StroopEffect,,2025.1.1,60.04325516103713,2025-08-24 19h01.20.014850 +0530,
BLUE,blue,c,b,0,0,0,b,1,0.45721340000000055,None,0,0,0,2,0.37778119999984483,,,,,,,,,0.37556099999983417,0.37778119999984483,1.377145100000007,1.377145100000007,1.377145100000007,1.8438083999999435,b,1,0.45721340000000055,None,,,,,,,,1003,001,21,Woman,2025-08-24_19h01.11.938,StroopEffect,,2025.1.1,60.04325516103713,2025-08-24 19h01.20.014850 +0530,
RED,red,c,r,1,1,0,r,1,0.33549410000000535,None,0,1,1,1,1.8599063999999998,,,,,,,,,1.8473725999999715,1.8599063999999998,2.8604186999998547,2.8438316999997824,2.8438316999997824,3.194407599999977,r,1,0.33549410000000535,None,,,,,,,,1003,001,21,Woman,2025-08-24_19h01.11.938,StroopEffect,,2025.1.1,60.04325516103713,2025-08-24 19h01.20.014850 +0530,
RED,blue,i,b,2,2,0,r,0,0.5468379999999797,None,0,2,2,0,3.2103380999999445,,,,,,,,,3.1953318999999283,3.2103380999999445,4.210466499999939,4.193872499999998,4.193872499999998,4.7444066999998995,r,0,0.5468379999999797,None,,,,,,,,1003,001,21,Woman,2025-08-24_19h01.11.938,StroopEffect,,2025.1.1,60.04325516103713,2025-08-24 19h01.20.014850 +0530,
BLUE,red,i,r,3,3,0,b,0,0.6408165000000281,None,0,3,3,3,4.760356299999785,,,,,,,,,4.748588599999948,4.760356299999785,5.760296799999878,5.743671999999833,5.743671999999833,6.394359699999995,b,0,0.6408165000000281,None,,,,,,,,1003,001,21,Woman,2025-08-24_19h01.11.938,StroopEffect,,2025.1.1,60.04325516103713,2025-08-24 19h01.20.014850 +0530,
RED,red,c,r,4,0,1,r,1,0.9542289999999412,None,1,0,4,1,6.410293999999794,,,,,,,,,6.398398499999985,6.410293999999794,7.410421299999825,7.393604699999969,7.393604699999969,8.360896999999795,r,1,0.9542289999999412,None,,,,,,,,1003,001,21,Woman,2025-08-24_19h01.11.938,StroopEffect,,2025.1.1,60.04325516103713,2025-08-24 19h01.20.014850 +0530,
BLUE,red,i,r,5,1,1,r,1,0.7008375000000342,None,1,1,5,3,8.37675749999994,,,,,,,,,8.365344599999844,8.37675749999994,9.377153099999987,9.36022539999999,9.36022539999999,10.077753799999982,r,1,0.7008375000000342,None,,,,,,,,1003,001,21,Woman,2025-08-24_19h01.11.938,StroopEffect,,2025.1.1,60.04325516103713,2025-08-24 19h01.20.014850 +0530,
RED,blue,i,b,6,2,1,b,1,0.6744381000000885,None,1,2,6,0,10.093323299999838,,,,,,,,,10.082597599999872,10.093323299999838,11.093447099999821,11.07668909999984,11.07668909999984,11.760863699999845,b,1,0.6744381000000885,None,,,,,,,,1003,001,21,Woman,2025-08-24_19h01.11.938,StroopEffect,,2025.1.1,60.04325516103713,2025-08-24 19h01.20.014850 +0530,
BLUE,blue,c,b,7,3,1,b,1,0.3714010999999573,None,1,3,7,2,11.776590799999894,,,,,,,,,11.765268399999968,11.776590799999894,12.776640999999927,12.760227099999838,12.760227099999838,13.14415729999996,b,1,0.3714010999999573,None,,,,,,,,1003,001,21,Woman,2025-08-24_19h01.11.938,StroopEffect,,2025.1.1,60.04325516103713,2025-08-24 19h01.20.014850 +0530,
BLUE,blue,c,b,8,0,2,b,1,0.39077050000014424,None,2,0,8,2,13.16025159999981,,,,,,,,,13.14503929999978,13.16025159999981,14.160034300000007,14.143466399999852,14.143466399999852,14.54419629999984,b,1,0.39077050000014424,None,,,,,,,,1003,001,21,Woman,2025-08-24_19h01.11.938,StroopEffect,,2025.1.1,60.04325516103713,2025-08-24 19h01.20.014850 +0530,
RED,blue,i,b,9,1,2,b,1,0.3673245999998471,None,2,1,9,0,14.560205399999859,,,,,,,,,14.548535099999981,14.560205399999859,15.559802599999784,15.543667199999845,15.543667199999845,15.927104399999962,b,1,0.3673245999998471,None,,,,,,,,1003,001,21,Woman,2025-08-24_19h01.11.938,StroopEffect,,2025.1.1,60.04325516103713,2025-08-24 19h01.20.014850 +0530,
RED,red,c,r,10,2,2,r,1,0.2924117000000024,None,2,2,10,1,15.943180699999857,,,,,,,,,15.927983399999903,15.943180699999857,16.943211799999972,16.926605599999903,16.926605599999903,17.227091900000005,r,1,0.2924117000000024,None,,,,,,,,1003,001,21,Woman,2025-08-24_19h01.11.938,StroopEffect,,2025.1.1,60.04325516103713,2025-08-24 19h01.20.014850 +0530,
BLUE,red,i,r,11,3,2,r,1,0.3044397000001027,None,2,3,11,3,17.243316599999844,,,,,,,,,17.231153699999822,17.243316599999844,18.243227899999965,18.226491499999838,18.226491499999838,18.543332599999985,r,1,0.3044397000001027,None,,,,,,,,1003,001,21,Woman,2025-08-24_19h01.11.938,StroopEffect,,2025.1.1,60.04325516103713,2025-08-24 19h01.20.014850 +0530,
RED,red,c,r,12,0,3,r,1,0.3172831000001679,None,3,0,12,1,18.55962539999996,,,,,,,,,18.54557379999983,18.55962539999996,19.55970259999981,19.542865099999972,19.542865099999972,19.87668829999984,r,1,0.3172831000001679,None,,,,,,,,1003,001,21,Woman,2025-08-24_19h01.11.938,StroopEffect,,2025.1.1,60.04325516103713,2025-08-24 19h01.20.014850 +0530,
RED,blue,i,b,13,1,3,b,1,0.5638972000001559,None,3,1,13,0,19.892877999999882,,,,,,,,,19.877094499999885,19.892877999999882,20.892702199999803,20.876110299999937,20.876110299999937,21.442873599999984,b,1,0.5638972000001559,None,,,,,,,,1003,001,21,Woman,2025-08-24_19h01.11.938,StroopEffect,,2025.1.1,60.04325516103713,2025-08-24 19h01.20.014850 +0530,
BLUE,red,i,r,14,2,3,b,0,0.5660006000000521,None,3,2,14,3,21.459501199999977,,,,,,,,,21.444419399999788,21.459501199999977,22.459998599999835,22.442979499999865,22.442979499999865,23.01004789999979,b,0,0.5660006000000521,None,,,,,,,,1003,001,21,Woman,2025-08-24_19h01.11.938,StroopEffect,,2025.1.1,60.04325516103713,2025-08-24 19h01.20.014850 +0530,
