Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Routine1.started,StudyText.started,Studyslider.started,Routine1.stopped,trials.Studyslider.response,trials.Studyslider.rt,Routine2.started,TestText.started,textbox.started,submit_text.started,testmouse.started,Routine2.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Poster,0,0,0,1.3888888888888888,1.440309299970977,,,,,,,,,,,,0,0,0,14,,,,,0.016440600040368736,,0.009150100057013333,0.016440600040368736,0.016440600040368736,1.4644525999901816,1.3888888888888888,1.440309299970977,,,,,,,,,,,,,,,P005,001,,2025-10-14_17h22.06.131,WordPriming_Experiment,,2025.1.1,60.04844706452036,2025-10-14 17h22.15.143104 +0530,
book,1,1,0,1.0740740740740742,0.4125951000023633,,,,,,,,,,,,0,1,1,0,,,,,1.4793074000626802,,1.4691516000311822,1.4793074000626802,1.4793074000626802,1.8970795000204816,1.0740740740740742,0.4125951000023633,,,,,,,,,,,,,,,P005,001,,2025-10-14_17h22.06.131,WordPriming_Experiment,,2025.1.1,60.04844706452036,2025-10-14 17h22.15.143104 +0530,
Chart,2,2,0,1.537037037037037,0.42705490009393543,,,,,,,,,,,,0,2,2,6,,,,,1.9138792000012472,,1.9046663000481203,1.9138792000012472,1.9138792000012472,2.3467900999821723,1.537037037037037,0.42705490009393543,,,,,,,,,,,,,,,P005,001,,2025-10-14_17h22.06.131,WordPriming_Experiment,,2025.1.1,60.04844706452036,2025-10-14 17h22.15.143104 +0530,
Keys,3,3,0,1.1222222222222222,0.43015879997983575,,,,,,,,,,,,0,3,3,13,,,,,2.3631304000737146,,2.351493600057438,2.3631304000737146,2.3631304000737146,2.797567200032063,1.1222222222222222,0.43015879997983575,,,,,,,,,,,,,,,P005,001,,2025-10-14_17h22.06.131,WordPriming_Experiment,,2025.1.1,60.04844706452036,2025-10-14 17h22.15.143104 +0530,
T-shirt,4,4,0,1.674074074074074,0.47992439998779446,,,,,,,,,,,,0,4,4,7,,,,,2.8126539000077173,,2.8010371000273153,2.8126539000077173,2.8126539000077173,3.296583899995312,1.674074074074074,0.47992439998779446,,,,,,,,,,,,,,,P005,001,,2025-10-14_17h22.06.131,WordPriming_Experiment,,2025.1.1,60.04844706452036,2025-10-14 17h22.15.143104 +0530,
marble,5,5,0,1.3333333333333333,0.45008229999803007,,,,,,,,,,,,0,5,5,3,,,,,3.312627400038764,,3.2985809000674635,3.312627400038764,3.312627400038764,3.7633198000257835,1.3333333333333333,0.45008229999803007,,,,,,,,,,,,,,,P005,001,,2025-10-14_17h22.06.131,WordPriming_Experiment,,2025.1.1,60.04844706452036,2025-10-14 17h22.15.143104 +0530,
Laptop,6,6,0,1.5185185185185186,0.4823354999534786,,,,,,,,,,,,0,6,6,5,,,,,3.7795811999822035,,3.76631770003587,3.7795811999822035,3.7795811999822035,4.263422799995169,1.5185185185185186,0.4823354999534786,,,,,,,,,,,,,,,P005,001,,2025-10-14_17h22.06.131,WordPriming_Experiment,,2025.1.1,60.04844706452036,2025-10-14 17h22.15.143104 +0530,
board,7,7,0,1.2962962962962963,0.4158880999311805,,,,,,,,,,,,0,7,7,4,,,,,4.2796053000492975,,4.266693399986252,4.2796053000492975,4.2796053000492975,4.696922700037248,1.2962962962962963,0.4158880999311805,,,,,,,,,,,,,,,P005,001,,2025-10-14_17h22.06.131,WordPriming_Experiment,,2025.1.1,60.04844706452036,2025-10-14 17h22.15.143104 +0530,
Cruise,8,8,0,1.6851851851851851,0.5657675000838935,,,,,,,,,,,,0,8,8,11,,,,,4.713207400054671,,4.699522900045849,4.713207400054671,4.713207400054671,5.280097800074145,1.6851851851851851,0.5657675000838935,,,,,,,,,,,,,,,P005,001,,2025-10-14_17h22.06.131,WordPriming_Experiment,,2025.1.1,60.04844706452036,2025-10-14 17h22.15.143104 +0530,
Police,9,9,0,1.6851851851851851,0.11875260004308075,,,,,,,,,,,,0,9,9,12,,,,,5.295981100061908,,5.281766899977811,5.295981100061908,5.295981100061908,5.413690700079314,1.6851851851851851,0.11875260004308075,,,,,,,,,,,,,,,P005,001,,2025-10-14_17h22.06.131,WordPriming_Experiment,,2025.1.1,60.04844706452036,2025-10-14 17h22.15.143104 +0530,
